start,end,text,diff
00:00:00.000,00:00:02.640," And there's a beautiful wedding, people.",0.0
00:00:02.640,00:00:04.300, I'm sure everybody flew.,0.1200000000000001
00:00:04.420,00:00:08.100, And what do I see behind a palm tree where I'm hiding?,0.8399999999999999
00:00:08.940,00:00:15.300, I see the beautiful wedding cake in a little table with two chairs for the bride and the groom.,0.0
00:00:15.300,00:00:21.420," Instead of the bride and the groom, there is Lupe and Angie sitting perfectly.",0.23999999999999844
00:00:21.660,00:00:25.500, And everybody's trying to get the dogs.,0.23999999999999844
00:00:25.740,00:00:29.440," And they really are not mean dogs, but they were faking it really well.",0.0
00:00:29.440,00:00:30.700, This is what they would do.,0.08000000000000185
00:00:30.780,00:00:34.300," They'd like, dog, dog, dog, dog, dog, eat as fast as they could.",0.0
00:00:34.300,00:00:36.000," And then they would go, rawr!",
