start,end,text,diff
00:00:00.280,00:00:02.640," And there's a beautiful wedding, people.",0.31999999999999984
00:00:02.960,00:00:04.280, I'm sure everybody flew.,0.5999999999999996
00:00:04.880,00:00:08.020, And what do I see behind a palm tree where I'm hiding?,1.3800000000000008
00:00:09.400,00:00:15.220, I see the beautiful wedding cake in a little table with two chairs for the bride and the groom.,0.0
00:00:15.220,00:00:21.320," Instead of the bride and the groom, there is Lupe and Angie sitting perfectly.",0.8399999999999999
00:00:22.160,00:00:25.460, And everybody's trying to get the dogs.,0.759999999999998
00:00:26.220,00:00:29.400," And they really are not mean dogs, but they were faking it really well.",0.3200000000000003
00:00:29.720,00:00:30.640, This is what they would do.,0.6600000000000001
00:00:31.300,00:00:34.320," They'd like, it has fast as they can't.",0.03999999999999915
00:00:34.360,00:00:35.660," And then they would go, whaa!",
